provider,model,id,type,difficulty,edge_case,final_pass,checkpoint_pass,overall_pass,consistency_pass,consistency_failures
openai,gpt-4.1,bandpass_response_000,bandpass_response,,,True,True,True,True,
openai,gpt-4.1,bandpass_response_001,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_002,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_003,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_004,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_005,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_006,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_007,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_008,bandpass_response,,,False,True,False,True,
openai,gpt-4.1,bandpass_response_009,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_010,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_011,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_012,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_013,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bandpass_response_014,bandpass_response,,,False,False,False,True,
openai,gpt-4.1,bode_magnitude_000,bode_magnitude,,,False,False,False,False,mag_at_fq inconsistent with dc/cutoff
openai,gpt-4.1,bode_magnitude_001,bode_magnitude,,,False,False,False,True,
openai,gpt-4.1,bode_magnitude_002,bode_magnitude,,,False,False,False,True,
openai,gpt-4.1,bode_magnitude_003,bode_magnitude,,,False,False,False,False,mag_at_fq inconsistent with dc/cutoff
openai,gpt-4.1,bode_magnitude_004,bode_magnitude,,,False,False,False,False,mag_at_fq inconsistent with dc/cutoff
openai,gpt-4.1,bode_magnitude_005,bode_magnitude,,,False,False,False,False,mag_at_fc not ~ dc-3dB | mag_at_fq inconsistent with dc/cutoff
openai,gpt-4.1,bode_magnitude_006,bode_magnitude,,,False,False,False,False,mag_at_fc not ~ dc-3dB | mag_at_fq inconsistent with dc/cutoff
openai,gpt-4.1,bode_magnitude_007,bode_magnitude,,,False,False,False,False,mag_at_fq inconsistent with dc/cutoff
openai,gpt-4.1,bode_magnitude_008,bode_magnitude,,,False,False,False,True,
openai,gpt-4.1,bode_magnitude_009,bode_magnitude,,,False,False,False,False,mag_at_fq inconsistent with dc/cutoff
openai,gpt-4.1,bode_magnitude_010,bode_magnitude,,,False,False,False,False,mag_at_fq inconsistent with dc/cutoff
openai,gpt-4.1,bode_magnitude_011,bode_magnitude,,,False,False,False,True,
openai,gpt-4.1,bode_magnitude_012,bode_magnitude,,,False,False,False,True,
openai,gpt-4.1,bode_magnitude_013,bode_magnitude,,,False,False,False,True,
openai,gpt-4.1,bode_magnitude_014,bode_magnitude,,,False,False,False,False,mag_at_fq inconsistent with dc/cutoff
openai,gpt-4.1,bode_phase_000,bode_phase,,,False,True,False,True,
