provider,model,id,type,n_fields,final_n,checkpoint_n,all_final_pass,all_checkpoint_pass
openai,gpt-4.1,bandpass_response_000,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_001,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_002,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_003,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_004,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_005,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_006,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_007,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_008,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_009,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_010,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_011,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_012,bandpass_response,5,2,3,True,False
openai,gpt-4.1,bandpass_response_013,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_014,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_015,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_016,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_017,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_018,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_019,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_020,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_021,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_022,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_023,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_024,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_025,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_026,bandpass_response,5,2,3,False,True
openai,gpt-4.1,bandpass_response_027,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_028,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bandpass_response_029,bandpass_response,5,2,3,False,False
openai,gpt-4.1,bode_magnitude_000,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_001,bode_magnitude,4,2,2,False,True
openai,gpt-4.1,bode_magnitude_002,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_003,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_004,bode_magnitude,4,2,2,True,False
openai,gpt-4.1,bode_magnitude_005,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_006,bode_magnitude,4,2,2,True,False
openai,gpt-4.1,bode_magnitude_007,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_008,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_009,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_010,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_011,bode_magnitude,4,2,2,False,False
openai,gpt-4.1,bode_magnitude_012,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_013,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_014,bode_magnitude,4,2,2,True,False
openai,gpt-4.1,bode_magnitude_015,bode_magnitude,4,2,2,True,False
openai,gpt-4.1,bode_magnitude_016,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_017,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_018,bode_magnitude,4,2,2,True,False
openai,gpt-4.1,bode_magnitude_019,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_020,bode_magnitude,4,2,2,False,True
openai,gpt-4.1,bode_magnitude_021,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_022,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_023,bode_magnitude,4,2,2,False,True
openai,gpt-4.1,bode_magnitude_024,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_025,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_026,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_027,bode_magnitude,4,2,2,True,False
openai,gpt-4.1,bode_magnitude_028,bode_magnitude,4,2,2,True,True
openai,gpt-4.1,bode_magnitude_029,bode_magnitude,4,2,2,False,True
openai,gpt-4.1,bode_phase_000,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_001,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_002,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_003,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_004,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_005,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_006,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_007,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_008,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_009,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_010,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_011,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_012,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_013,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_014,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_015,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_016,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_017,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_018,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_019,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_020,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_021,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_022,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_023,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_024,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_025,bode_phase,3,2,1,True,True
openai,gpt-4.1,bode_phase_026,bode_phase,3,2,1,False,True
openai,gpt-4.1,bode_phase_027,bode_phase,3,2,1,True,True
